Avg CPV - Video Views March - May 27th 2025,AVERAGE CPV (Infeed+Instream)
1 March 2025 - 27 May 2025,#DIV/0!
Afghanistan,0.12
Albania,0.37
Algeria,0.12
American Samoa,0.24
Andorra,0.08
Angola,0.15
Anguilla,0.13
Antigua and Barbuda,0.11
Argentina,0.20
Armenia,0.10
Aruba,0.12
Australia,1.71
Austria,0.75
Azerbaijan,0.12
Bahrain,0.12
Bangladesh,0.13
Barbados,0.30
Belarus,0.12
Belgium,0.90
Belize,0.07
Benin,0.13
Bermuda,0.11
Bhutan,0.10
Bolivia,0.13
Bosnia and Herzegovina,0.15
Botswana,0.15
Brazil,0.17
British Indian Ocean Territory,0.12
British Virgin Islands,0.16
Brunei,0.33
Bulgaria,0.16
Burkina Faso,0.12
Burundi,0.11
Cabo Verde,0.03
Cambodia,0.13
Cameroon,0.25
Canada,1.75
Caribbean Netherlands,0.14
Cayman Islands,0.16
Central African Republic,0.07
Chad,0.17
Chile,0.13
China,0.11
Colombia,0.14
Comoros,0.04
Cook Islands,0.00
Costa Rica,0.13
Cote d'Ivoire,0.10
Country/Territory (User location),#DIV/0!
Croatia,0.14
Cuba,0.11
Curacao,0.13
Cyprus,0.31
Czechia,0.20
Democratic Republic of the Congo,1.84
Denmark,0.70
Djibouti,0.11
Dominica,0.16
Dominican Republic,0.13
Ecuador,0.12
Egypt,0.12
El Salvador,0.16
Equatorial Guinea,0.07
Estonia,0.12
Eswatini,0.13
Ethiopia,0.10
Falkland Islands (Islas Malvinas),0.13
Faroe Islands,0.11
Fiji,0.17
Finland,0.56
France,0.95
French Guiana,0.13
French Polynesia,0.11
Gabon,2.43
Georgia,0.14
Germany,1.08
Ghana,0.17
Gibraltar,0.11
Greece,0.37
Greenland,0.13
Grenada,0.08
Guadeloupe,0.11
Guam,0.11
Guatemala,0.12
Guernsey,0.14
Guinea,0.07
Guinea-Bissau,0.17
Guyana,0.12
Haiti,0.57
Honduras,0.13
Hong Kong,0.24
Hungary,0.22
Iceland,0.17
India,0.13
Indonesia,0.13
Iran,0.10
Iraq,0.14
Ireland,0.76
Isle of Man,0.13
Israel,0.28
Italy,1.03
Jamaica,0.16
Japan,1.10
Jersey,0.11
Jordan,0.12
Kazakhstan,0.13
Kenya,0.15
Kiribati,0.03
Kosovo,0.11
Kuwait,0.21
Kyrgyzstan,0.12
Laos,0.13
Latvia,0.12
Lebanon,0.13
Lesotho,0.07
Liberia,0.04
Libya,0.11
Liechtenstein,0.18
Lithuania,0.13
Luxembourg,0.13
Macao,0.44
Madagascar,0.08
Malawi,0.10
Malaysia,0.13
Maldives,0.11
Mali,0.14
Malta,0.12
Marshall Islands,0.00
Martinique,0.12
Mauritania,0.11
Mauritius,0.06
Mayotte,0.13
Mexico,0.15
Micronesia,0.19
Moldova,0.13
Monaco,0.00
Mongolia,0.35
Montenegro,0.14
Montserrat,0.13
Morocco,0.13
Mozambique,0.08
Myanmar (Burma),0.08
Namibia,0.08
Nauru,0.00
Nepal,0.12
Netherlands,1.04
New Caledonia,0.11
New Zealand,0.69
Nicaragua,0.12
Niger,0.12
Nigeria,0.53
Norfolk Island,0.04
North Macedonia,0.11
Northern Mariana Islands,0.12
Norway,1.10
Oman,0.13
Pakistan,0.14
Palau,0.12
Palestine,0.08
Panama,0.13
Papua New Guinea,0.11
Paraguay,0.13
Peru,0.14
Philippines,0.14
Poland,0.38
Portugal,0.12
Puerto Rico,0.12
Qatar,0.19
Republic of the Congo,0.09
Reunion,0.12
Romania,0.18
Rwanda,0.09
Saint Barthelemy,0.14
"Saint Helena, Ascension and Tristan da Cunha",0.12
Saint Kitts and Nevis,0.10
Saint Lucia,0.08
Saint Martin,0.13
Saint Pierre and Miquelon,0.11
Saint Vincent and the Grenadines,0.06
Samoa,0.00
San Marino,0.26
Sao Tome and Principe,0.07
Saudi Arabia,0.16
Senegal,0.13
Serbia,0.15
Seychelles,0.07
Sierra Leone,0.12
Singapore,0.84
Sint Maarten,0.14
Slovakia,0.19
Slovenia,0.11
Solomon Islands,0.00
Somalia,0.07
South Africa,0.48
South Korea,0.14
South Sudan,0.09
Spain,0.18
Sri Lanka,0.13
Sudan,0.08
Suriname,0.09
Svalbard and Jan Mayen,0.09
Sweden,1.13
Switzerland,1.12
Syria,0.10
Taiwan,0.34
Tajikistan,0.12
Tanzania,0.15
Thailand,0.15
The Bahamas,0.07
The Gambia,0.10
Timor-Leste,0.06
Togo,0.12
Tonga,0.06
Trinidad and Tobago,0.27
Tunisia,0.13
Turkiye,0.16
Turkmenistan,0.00
Turks and Caicos Islands,0.13
Tuvalu,0.11
U.S. Virgin Islands,0.19
Uganda,0.20
Ukraine,0.25
United Arab Emirates,0.65
United Kingdom,1.59
United States,2.05
Uruguay,0.13
Uzbekistan,0.12
Vanuatu,0.06
Venezuela,0.13
Vietnam,0.13
Wallis and Futuna,0.12
Western Sahara,0.12
Yemen,0.11
Zambia,0.14
Zimbabwe,0.12
